date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-13,110.82,112.45,110.68,25.1221,132197200,-0.2217525000000009,1.592973673459512,9.999874285811082,Quadrante 4 (Discesa -> Minimo),HOLD,0,19.051081812398973,LOW
2015-10-14,111.29,111.52,109.56,24.767,177849600,-0.1884350000000019,1.6206773168821462,3.7792586640050976,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.184532897123039,LOW
2015-10-15,110.93,112.1,110.49,25.1378,150694000,-0.11949749999999781,1.5977472110019366,4.434435860405415,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.434359718443424,LOW
2015-10-16,111.78,112.0,110.53,24.9535,156930400,-0.09562250000000105,1.607901139753911,2.5776829890830593,Quadrante 4 (Discesa -> Minimo),HOLD,0,4.892387330069262,LOW
2015-10-19,110.8,111.75,110.11,25.1086,119036800,-0.10781250000000142,1.6067225764583424,3.0015850996476114,Quadrante 4 (Discesa -> Minimo),HOLD,0,11.365881460749236,LOW
2015-10-20,111.34,114.17,110.82,25.567,195871200,-0.11236499999999694,1.630288143117544,1.8898617679522673,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.133285190801909,LOW
2015-10-21,114.0,115.58,113.7,25.5648,167180800,-0.10169000000000139,1.6186327007537853,2.126599178097209,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.033748721271264,LOW
2015-10-22,114.33,115.5,114.1,25.9558,166616400,0.0005075000000012153,1.5704041352197982,1.2940104918926565,Quadrante 3 (Picco -> Discesa),HOLD,0,4.854581361240973,LOW
2015-10-23,116.7,119.23,116.33,26.7603,237467600,0.12231000000000236,1.4919388034044383,1.5526338016799475,Quadrante 3 (Picco -> Discesa),HOLD,0,5.776127398548994,LOW
2015-10-26,118.08,118.13,114.92,25.9064,265335200,0.1938299999999984,1.3806536884171294,1.0255611741882196,Quadrante 3 (Picco -> Discesa),HOLD,0,3.7438753769730986,LOW
2015-10-27,115.4,116.54,113.99,25.7423,279537600,0.2457950000000011,1.3671822756022383,1.2155430281640827,Quadrante 3 (Picco -> Discesa),HOLD,0,4.435207216167128,LOW
2015-10-28,116.93,119.3,116.06,26.803,342205600,0.38450500000000076,1.0669440237267676,0.796401947367856,Quadrante 3 (Picco -> Discesa),HOLD,0,2.818252148794679,LOW
2015-10-29,118.7,120.69,118.27,27.0862,204909200,0.5333325000000002,1.0438542055132058,1.0605295767515517,Quadrante 3 (Picco -> Discesa),HOLD,0,3.756019566420757,LOW
2015-10-30,120.99,121.22,119.45,26.8547,197461200,0.6721600000000016,0.7181691654999738,0.8926289014482824,Quadrante 3 (Picco -> Discesa),HOLD,0,3.0826865544508997,LOW
2015-11-02,120.8,121.36,119.61,27.2322,128813200,0.817610000000002,0.7917800675997859,1.1637255839480378,Quadrante 3 (Picco -> Discesa),HOLD,0,4.054366707759104,LOW
2015-11-03,120.79,123.49,120.7,27.5446,182076000,0.9577275000000043,0.5740958699084725,1.14058132761931,Quadrante 3 (Picco -> Discesa),HOLD,0,4.029462753812094,LOW
2015-11-04,123.13,123.82,121.62,27.4165,179544400,1.0763225000000034,0.7025238081266871,1.410250180803712,Quadrante 3 (Picco -> Discesa),HOLD,0,5.054656345733351,LOW
2015-11-05,121.85,122.69,120.18,27.2901,158210800,1.1599350000000008,0.6125763865103255,1.417719901132003,Quadrante 3 (Picco -> Discesa),HOLD,0,5.22053663338938,LOW
2015-11-06,121.11,121.81,120.62,27.3217,132169200,1.1746800000000022,0.7505008077771792,1.6061860458292103,Quadrante 3 (Picco -> Discesa),HOLD,0,5.912563409190128,LOW
2015-11-09,120.96,121.81,120.05,27.2111,135485600,1.2726999999999968,0.653778370935188,1.6033177421613547,Quadrante 3 (Picco -> Discesa),HOLD,0,5.940692654815087,LOW
2015-11-10,116.9,118.07,116.06,26.3535,236511600,1.3282599999999967,0.7973038816120948,1.9012128188892599,Quadrante 3 (Picco -> Discesa),HOLD,0,7.045711380947273,LOW
2015-11-11,116.37,117.42,115.21,26.2046,180872000,1.2673124999999992,0.826555556928241,1.8708107727324834,Quadrante 3 (Picco -> Discesa),HOLD,0,6.8937277016442255,LOW
2015-11-12,116.26,116.82,115.65,26.1166,130102400,1.1574549999999988,0.9725703004521024,2.055222515045323,Quadrante 3 (Picco -> Discesa),HOLD,0,7.52109315081079,LOW
2015-11-13,115.2,115.57,112.27,25.3537,183249600,1.0108899999999998,1.0171526817955674,1.9226115094055924,Quadrante 3 (Picco -> Discesa),HOLD,0,6.969780133671027,LOW
2015-11-16,111.38,114.24,111.0,25.769,152426800,0.8676100000000027,1.1349131699194146,2.054919699267794,Quadrante 3 (Picco -> Discesa),HOLD,0,7.466867201924085,LOW
2015-11-17,114.92,115.05,113.32,25.6584,110467600,0.6746274999999962,1.1984023911961106,1.854155046138858,Quadrante 3 (Picco -> Discesa),HOLD,0,6.720846033512288,LOW
2015-11-18,115.76,117.49,115.5,26.4709,186698800,0.5605599999999988,1.2686964107327359,1.8840726618805204,Quadrante 3 (Picco -> Discesa),HOLD,0,6.876470156121344,LOW
2015-11-19,117.64,119.75,116.76,26.8072,173183200,0.48817499999999825,1.2796846922684695,1.7008558690368796,Quadrante 3 (Picco -> Discesa),HOLD,0,6.232302145784195,LOW
2015-11-20,119.2,119.92,118.85,26.9245,137148400,0.41980000000000217,1.333238623039279,1.7838808029642883,Quadrante 3 (Picco -> Discesa),HOLD,0,6.60098426857072,LOW
2015-11-23,119.27,119.73,117.34,26.5747,129930000,0.32349499999999765,1.366194304211229,1.592179255008353,Quadrante 3 (Picco -> Discesa),HOLD,0,5.9091983557311885,LOW
2015-11-24,117.33,119.35,117.12,26.8297,171212800,0.31308750000000174,1.3754555759625253,1.6130148528923247,Quadrante 3 (Picco -> Discesa),HOLD,0,6.015601676071733,LOW
2015-11-25,119.21,119.23,117.92,26.6379,85553200,0.3101499999999966,1.360732611723712,1.487371503310558,Quadrante 3 (Picco -> Discesa),HOLD,0,5.56005863855115,LOW
2015-11-27,118.29,118.41,117.6,26.5882,52185600,0.3082400000000014,1.3670459867339237,1.5233500845816677,Quadrante 3 (Picco -> Discesa),HOLD,0,5.7345533464000145,LOW
2015-11-30,117.99,119.41,117.75,26.6988,156721200,0.39540999999999826,1.2934953758410528,1.4443635865377296,Quadrante 3 (Picco -> Discesa),HOLD,0,5.406506072914037,LOW
2015-12-01,118.75,118.81,116.86,26.4822,139409600,0.42705250000000206,1.3018443362045902,1.607144708679401,Quadrante 3 (Picco -> Discesa),HOLD,0,6.0115914435199524,LOW
2015-12-02,117.34,118.11,116.08,26.2429,133546400,0.45478500000000466,1.2853968391424566,1.6153431298148273,Quadrante 3 (Picco -> Discesa),HOLD,0,6.042210891269671,LOW
2015-12-03,116.55,116.79,114.22,25.9992,166278000,0.380012500000003,1.3565790053484432,1.787598388047458,Quadrante 3 (Picco -> Discesa),HOLD,0,6.69380218224738,LOW
2015-12-04,115.29,119.25,115.11,26.8636,231108000,0.329247500000001,1.3789335633961404,1.7266311034178836,Quadrante 3 (Picco -> Discesa),HOLD,0,6.456445282103651,LOW
2015-12-07,118.98,119.86,117.81,26.6943,128336800,0.268774999999998,1.425780623357835,1.8599320376179551,Quadrante 3 (Picco -> Discesa),HOLD,0,6.926243072491012,LOW
2015-12-08,117.52,118.6,116.86,26.683,137238000,0.2395150000000008,1.4393925894151811,1.8279972686329906,Quadrante 3 (Picco -> Discesa),HOLD,0,6.797929785489391,LOW
2015-12-09,117.64,117.69,115.08,26.094,185445600,0.1416474999999977,1.4998618102919667,1.99855253613864,Quadrante 3 (Picco -> Discesa),HOLD,0,7.44918111458038,LOW
2015-12-10,116.04,116.94,115.51,26.2181,116850800,0.06339000000000539,1.53830636949801,1.9514077282404236,Quadrante 3 (Picco -> Discesa),HOLD,0,7.256876541181073,LOW
2015-12-11,115.19,115.39,112.85,25.5433,187544800,-0.051237499999995606,1.5948632577263577,2.129164152813402,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.905082733268999,LOW
2015-12-14,112.18,112.68,109.79,25.3853,257274800,-0.193382500000002,1.663580009224364,2.0872230918947685,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.710307753176095,LOW
2015-12-15,111.94,112.8,110.35,24.9362,213292400,-0.3436724999999967,1.7268946578918922,2.21060769151364,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.15448143978127,LOW
2015-12-16,111.07,111.99,108.8,25.128,224954000,-0.4441874999999982,1.7812964647401694,2.125817537832883,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.826093200252687,LOW
2015-12-17,112.02,112.25,108.98,24.5954,179091200,-0.5603325000000048,1.8149787038667669,2.31769300345139,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.560136288149783,LOW
2015-12-18,108.91,109.52,105.81,23.9296,385813200,-0.8030775000000006,1.9249811782051238,2.3155059461128498,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.527581234916198,LOW
2015-12-21,107.28,107.37,105.57,24.223,190362400,-0.9867749999999944,1.9942770200398587,2.401285402019417,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.81602474574646,LOW
2015-12-22,107.4,107.72,106.45,24.2005,131157600,-1.1923775000000028,2.1056268808146212,2.339392940140992,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.525577449331927,LOW
2015-12-23,107.27,108.85,107.2,24.5119,130629600,-1.3198274999999953,2.1676334560920774,2.3483253974721623,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.536547520536752,LOW
2015-12-24,109.0,109.0,107.95,24.381,54281600,-1.4429874999999974,2.2642568237206135,2.257481849031593,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.218618425158702,LOW
2015-12-28,107.59,107.69,106.18,24.1079,106816800,-1.5120699999999978,2.3157105895385226,2.230491825308892,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.138674476807886,LOW
2015-12-29,106.96,109.43,106.86,24.5413,123724800,-1.5386349999999993,2.3925040153946413,2.1010712032812386,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.694749009250841,LOW
2015-12-30,108.58,108.7,107.18,24.2208,100855200,-1.5348899999999972,2.4007372020186413,2.0801026528754023,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.659267391253312,LOW
2015-12-31,107.01,107.03,104.82,23.7559,163649200,-1.5773824999999988,2.4671255601121485,2.019592848848688,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.475332840193433,LOW
2016-01-04,102.61,105.37,102.0,23.7762,270597600,-1.5682950000000027,2.4811979804745152,1.9858114899757242,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.377964434321839,LOW
2016-01-05,105.75,105.85,102.41,23.1804,223164000,-1.5404725,2.505954579514749,1.9143604091398776,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.145349276015151,LOW
2016-01-06,100.56,102.37,99.87,22.7267,273829600,-1.575227499999997,2.482512034434416,1.9925575494334782,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.462788204981571,LOW
2016-01-07,98.68,100.13,96.43,21.7676,324377600,-1.6824299999999965,2.532293256883616,2.051620881541281,Quadrante 4 (Discesa -> Minimo),HOLD,0,7.7183711879156816,LOW
2016-01-08,98.55,99.11,96.76,21.8827,283192000,-1.8335799999999978,2.568969777182939,2.181579723094804,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.182292404559382,LOW
2016-01-11,98.97,99.06,97.34,22.237,198957600,-1.9487900000000025,2.6673781322726695,2.190508994371994,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.128650918082098,LOW
2016-01-12,100.55,100.69,98.84,22.5597,196616800,-2.0146875000000044,2.687482213115993,2.2419005303406103,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.281527543020298,LOW
2016-01-13,100.32,101.19,97.3,21.9797,249758400,-2.1864975000000015,2.7786096074071045,2.3388957089758486,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.614106083497967,LOW
2016-01-14,97.96,100.48,95.74,22.4604,252680400,-2.279822499999998,2.8512622446394627,2.3794020409804397,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.737272074973516,LOW
2016-01-15,96.2,97.71,95.36,21.921,319335600,-2.369877500000001,2.9424758419968424,2.4176461799826443,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.861011240510948,LOW
2016-01-19,98.41,98.65,95.5,21.815,212350800,-2.4496,3.0279084796108426,2.4655151196061644,Quadrante 4 (Discesa -> Minimo),HOLD,0,8.984510288411089,LOW
2016-01-20,95.1,98.19,93.42,21.8443,289337600,-2.459137500000004,-3.1411925348736296,2.4591376968478085,Quadrante 1 (Minimo -> Salita),BUY,1,1.8200489728559275,LOW
2016-01-21,97.06,97.88,94.94,21.7337,208646000,-2.4286674999999995,-3.036221652307252,2.4422129638181493,Quadrante 1 (Minimo -> Salita),HOLD,1,0.15220249330549274,LOW
2016-01-22,98.63,101.46,98.37,22.8892,263202000,-2.2243700000000004,-2.909854640871189,2.2854634155161757,Quadrante 1 (Minimo -> Salita),HOLD,1,0.16263241961828528,LOW
2016-01-25,101.52,101.53,99.21,22.4424,207178000,-2.0587175,-2.8720027500962484,2.1358644964080957,Quadrante 1 (Minimo -> Salita),HOLD,1,1.6037511127245887,LOW
2016-01-26,99.93,100.88,98.07,22.5665,300308000,-1.923982500000001,-2.824266982905098,2.0250885339342743,Quadrante 1 (Minimo -> Salita),HOLD,1,7.3800723291801535,LOW
2016-01-27,96.04,96.63,93.34,21.0837,533478800,-1.933969999999995,-2.830245023028232,2.031648407009691,Quadrante 1 (Minimo -> Salita),HOLD,1,7.503292278377909,LOW
2016-01-28,93.79,94.52,92.39,21.2349,222715200,-1.8718524999999993,-2.7360587250826036,2.037075877800207,Quadrante 1 (Minimo -> Salita),HOLD,1,7.572776604867701,LOW
2016-01-29,94.79,97.34,94.35,21.9684,257666000,-1.8082075000000017,-2.707584387785506,1.9929817763733289,Quadrante 1 (Minimo -> Salita),HOLD,1,7.398411522060669,LOW
2016-02-01,96.47,96.71,95.4,21.763,163774000,-1.7120099999999994,-2.6173816447218528,1.9775582528240419,Quadrante 1 (Minimo -> Salita),HOLD,1,7.2977390879068675,LOW
2016-02-02,95.42,96.04,94.28,21.323,149428800,-1.6443050000000028,-2.5961026093980797,1.9234491322841025,Quadrante 1 (Minimo -> Salita),HOLD,1,7.083079570793403,LOW
2016-02-03,95.0,96.84,94.08,21.745,183857200,-1.5262699999999967,-2.491092090903021,1.91795286710648,Quadrante 1 (Minimo -> Salita),HOLD,1,7.057178113486501,LOW
