date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2015-10-13,111.36,111.87,111.28,111.86,5149627,0.8699999999999761,1.5250450974029188,19.02251799731931,Quadrante 3 (Picco -> Discesa),HOLD,0,26.241510067348,LOW
2015-10-14,112.63,113.95,112.3,113.81,10207770,1.3974999999999937,1.4812832683732466,15.63311583739401,Quadrante 3 (Picco -> Discesa),HOLD,0,21.554733576479972,LOW
2015-10-15,113.2,113.99,112.94,113.29,14083930,1.9350000000000165,1.446283513978045,15.58079746105642,Quadrante 3 (Picco -> Discesa),HOLD,0,21.482389096630815,LOW
2015-10-16,113.24,113.44,112.43,112.49,7328038,2.233750000000029,1.4165834899385925,14.542423078094538,Quadrante 3 (Picco -> Discesa),HOLD,0,20.04655220942809,LOW
2015-10-19,112.64,112.69,111.89,112.02,3959383,2.5365000000000038,1.395891177806915,14.576351866194209,Quadrante 3 (Picco -> Discesa),HOLD,0,39.57843207304791,MEDIUM
2015-10-20,112.38,113.09,112.38,112.73,4903225,2.7685000000000173,1.3731322213630799,14.097706647771018,Quadrante 3 (Picco -> Discesa),HOLD,0,38.378718556988154,MEDIUM
2015-10-21,112.37,112.37,111.41,111.73,3908787,2.9072499999999906,1.3653154521616104,14.248575398911187,Quadrante 3 (Picco -> Discesa),HOLD,0,38.89952731889028,MEDIUM
2015-10-22,111.52,112.21,111.43,111.69,3436365,3.0617500000000035,1.3508652335139326,14.034271384064182,Quadrante 3 (Picco -> Discesa),HOLD,0,38.39235360688938,MEDIUM
2015-10-23,111.81,111.84,110.9601,111.5,4868351,3.0305000000000035,1.3577098736944044,14.330126383584247,Quadrante 3 (Picco -> Discesa),HOLD,0,39.30416332571099,MEDIUM
2015-10-26,111.73,111.98,111.33,111.43,2573512,2.9742500000000405,1.3593458496494415,14.171308418939645,Quadrante 3 (Picco -> Discesa),HOLD,0,38.97043862758746,MEDIUM
2015-10-27,111.31,111.81,111.29,111.68,2646105,2.884750000000011,1.3709146379085395,14.528838788168477,Quadrante 3 (Picco -> Discesa),HOLD,0,39.96570198066534,MEDIUM
2015-10-28,112.68,113.25,110.31,110.78,8201197,2.5422499999999957,1.3947271662406548,14.51380105354796,Quadrante 3 (Picco -> Discesa),HOLD,0,39.81125436875968,MEDIUM
2015-10-29,110.23,110.6,109.66,109.72,5150835,2.157749999999993,1.4230158773568888,14.654333084130432,Quadrante 3 (Picco -> Discesa),HOLD,0,40.07389796525694,MEDIUM
2015-10-30,109.5,109.58,109.06,109.3,5543162,1.8022500000000008,1.4462636934722353,14.509584537220306,Quadrante 3 (Picco -> Discesa),HOLD,0,39.57891679991165,MEDIUM
2015-11-02,108.64,108.84,108.46,108.59,5843311,1.431750000000008,1.4732445833465697,14.700130518231092,Quadrante 3 (Picco -> Discesa),HOLD,0,40.04668461797914,MEDIUM
2015-11-03,107.79,107.8094,106.68,106.98,7145264,0.8702499999999986,1.5113112222727545,14.638344265221866,Quadrante 3 (Picco -> Discesa),HOLD,0,39.82489012839886,MEDIUM
2015-11-04,107.02,107.09,105.92,105.97,7617813,0.2982500000000101,1.5504447350298844,14.655885053052646,Quadrante 3 (Picco -> Discesa),HOLD,0,39.80238328638426,MEDIUM
2015-11-05,106.01,106.1,105.58,105.64,5931124,-0.2882499999999908,1.5906613126920608,14.511410199606305,Quadrante 4 (Discesa -> Minimo),HOLD,0,39.32542437793378,MEDIUM
2015-11-06,104.17,104.42,104.02,104.1,8831874,-0.9767499999999814,1.6383431843897767,14.471334123214277,Quadrante 4 (Discesa -> Minimo),HOLD,0,39.13664577515784,MEDIUM
2015-11-09,104.29,104.58,104.19,104.4,4129199,-1.6342499999999944,1.6862862770308558,14.182087498287064,Quadrante 4 (Discesa -> Minimo),HOLD,0,38.30032075311177,MEDIUM
