date,open,high,low,close,volume
2015-08-13,116.04,116.4,114.54,25.8771,194143200
2015-08-14,114.32,116.31,114.01,26.0592,171718000
2015-08-17,116.04,117.65,115.5,26.3288,163538800
2015-08-18,116.43,117.44,116.01,26.1805,138242800
2015-08-19,116.1,116.52,114.68,25.8457,193146000
2015-08-20,114.08,114.35,111.63,25.3153,274006400
2015-08-21,110.43,111.9,105.65,23.767,513102000
2015-08-24,94.87,108.8,92.0,23.1737,648825200
2015-08-25,111.11,111.11,103.5,23.313,414406400
2015-08-26,107.09,109.89,105.05,24.6501,387098400
2015-08-27,112.23,113.24,110.02,25.376,338464400
2015-08-28,112.17,113.31,111.54,25.4592,212657600
2015-08-31,112.03,114.53,112.0,25.3401,224917200
2015-09-01,110.15,111.88,107.36,24.2074,307383600
2015-09-02,110.23,112.34,109.13,25.2457,247555200
2015-09-03,112.49,112.78,110.04,24.803,212935600
2015-09-04,108.97,110.45,108.51,24.5558,199985200
2015-09-08,111.75,112.56,110.32,25.2389,219374400
2015-09-09,113.76,114.02,109.77,24.7535,340043200
2015-09-10,110.27,113.28,109.9,25.2974,251571200
2015-09-11,111.79,114.21,111.76,25.6659,199662000
2015-09-14,116.58,116.89,114.86,25.9131,233453600
2015-09-15,115.93,116.53,114.42,26.1311,173364800
2015-09-16,116.25,116.54,115.44,26.1603,148694000
2015-09-17,115.66,116.49,113.72,25.6007,256450400
2015-09-18,112.21,114.3,111.87,25.4951,297141200
2015-09-21,113.67,115.37,113.66,25.8906,200888000
2015-09-22,113.38,114.18,112.52,25.4839,201384800
2015-09-23,113.63,114.72,113.3,25.6906,143026800
2015-09-24,113.25,115.5,112.37,25.8434,200878000
2015-09-25,116.44,116.69,114.02,25.7783,224607600
2015-09-28,113.85,114.57,112.44,25.2681,208436000
2015-09-29,112.83,113.51,107.86,24.5086,293461600
2015-09-30,110.17,111.54,108.73,24.7872,265892000
2015-10-01,109.07,109.62,107.31,24.6254,255716400
2015-10-02,108.01,111.01,107.55,24.8052,232079200
2015-10-05,109.88,111.37,109.07,24.8951,208258800
2015-10-06,110.63,111.74,109.77,25.0142,192787200
2015-10-07,111.74,111.77,109.41,24.8951,187062400
2015-10-08,110.19,110.19,108.21,24.6074,247918400
2015-10-09,110.0,112.28,109.49,25.1962,211064400
2015-10-12,112.73,112.75,111.44,25.0794,121868800
2015-10-13,110.82,112.45,110.68,25.1221,132197200
2015-10-14,111.29,111.52,109.56,24.767,177849600
2015-10-15,110.93,112.1,110.49,25.1378,150694000
2015-10-16,111.78,112.0,110.53,24.9535,156930400
2015-10-19,110.8,111.75,110.11,25.1086,119036800
2015-10-20,111.34,114.17,110.82,25.567,195871200
2015-10-21,114.0,115.58,113.7,25.5648,167180800
2015-10-22,114.33,115.5,114.1,25.9558,166616400
2015-10-23,116.7,119.23,116.33,26.7603,237467600
2015-10-26,118.08,118.13,114.92,25.9064,265335200
2015-10-27,115.4,116.54,113.99,25.7423,279537600
2015-10-28,116.93,119.3,116.06,26.803,342205600
2015-10-29,118.7,120.69,118.27,27.0862,204909200
2015-10-30,120.99,121.22,119.45,26.8547,197461200
2015-11-02,120.8,121.36,119.61,27.2322,128813200
2015-11-03,120.79,123.49,120.7,27.5446,182076000
2015-11-04,123.13,123.82,121.62,27.4165,179544400
2015-11-05,121.85,122.69,120.18,27.2901,158210800
2015-11-06,121.11,121.81,120.62,27.3217,132169200
2015-11-09,120.96,121.81,120.05,27.2111,135485600
2015-11-10,116.9,118.07,116.06,26.3535,236511600
2015-11-11,116.37,117.42,115.21,26.2046,180872000
2015-11-12,116.26,116.82,115.65,26.1166,130102400
2015-11-13,115.2,115.57,112.27,25.3537,183249600
2015-11-16,111.38,114.24,111.0,25.769,152426800
2015-11-17,114.92,115.05,113.32,25.6584,110467600
2015-11-18,115.76,117.49,115.5,26.4709,186698800
2015-11-19,117.64,119.75,116.76,26.8072,173183200
2015-11-20,119.2,119.92,118.85,26.9245,137148400
2015-11-23,119.27,119.73,117.34,26.5747,129930000
2015-11-24,117.33,119.35,117.12,26.8297,171212800
2015-11-25,119.21,119.23,117.92,26.6379,85553200
2015-11-27,118.29,118.41,117.6,26.5882,52185600
2015-11-30,117.99,119.41,117.75,26.6988,156721200
2015-12-01,118.75,118.81,116.86,26.4822,139409600
2015-12-02,117.34,118.11,116.08,26.2429,133546400
2015-12-03,116.55,116.79,114.22,25.9992,166278000
2015-12-04,115.29,119.25,115.11,26.8636,231108000
2015-12-07,118.98,119.86,117.81,26.6943,128336800
2015-12-08,117.52,118.6,116.86,26.683,137238000
2015-12-09,117.64,117.69,115.08,26.094,185445600
2015-12-10,116.04,116.94,115.51,26.2181,116850800
2015-12-11,115.19,115.39,112.85,25.5433,187544800
2015-12-14,112.18,112.68,109.79,25.3853,257274800
2015-12-15,111.94,112.8,110.35,24.9362,213292400
2015-12-16,111.07,111.99,108.8,25.128,224954000
2015-12-17,112.02,112.25,108.98,24.5954,179091200
2015-12-18,108.91,109.52,105.81,23.9296,385813200
2015-12-21,107.28,107.37,105.57,24.223,190362400
2015-12-22,107.4,107.72,106.45,24.2005,131157600
2015-12-23,107.27,108.85,107.2,24.5119,130629600
2015-12-24,109.0,109.0,107.95,24.381,54281600
2015-12-28,107.59,107.69,106.18,24.1079,106816800
2015-12-29,106.96,109.43,106.86,24.5413,123724800
2015-12-30,108.58,108.7,107.18,24.2208,100855200
2015-12-31,107.01,107.03,104.82,23.7559,163649200
2016-01-04,102.61,105.37,102.0,23.7762,270597600
